,TOP0_WCH,TOP0_LCH,TOP0_TOTCH,TOP0_WRCH,JGL0_WCH,JGL0_LCH,JGL0_TOTCH,JGL0_WRCH,MID0_WCH,MID0_LCH,MID0_TOTCH,MID0_WRCH,ADC0_WCH,ADC0_LCH,ADC0_TOTCH,ADC0_WRCH,SUP0_WCH,SUP0_LCH,SUP0_TOTCH,SUP0_WRCH,TOP1_WCH,TOP1_LCH,TOP1_TOTCH,TOP1_WRCH,JGL1_WCH,JGL1_LCH,JGL1_TOTCH,JGL1_WRCH,MID1_WCH,MID1_LCH,MID1_TOTCH,MID1_WRCH,ADC1_WCH,ADC1_LCH,ADC1_TOTCH,ADC1_WRCH,SUP1_WCH,SUP1_LCH,SUP1_TOTCH,SUP1_WRCH
EUW1_6132218975,27.0,19.0,46.0,0.5869565217391305,245.0,208.0,453.0,0.5408388520971302,1.0,4.0,5.0,0.2,25.0,16.0,41.0,0.6097560975609756,1.0,0.0,1.0,1.0,1.0,6.0,7.0,0.14285714285714285,4.0,6.0,10.0,0.4,3.0,8.0,11.0,0.2727272727272727,13.0,8.0,21.0,0.6190476190476191,35.0,39.0,74.0,0.47297297297297297
EUW1_6140258564,27.0,18.0,45.0,0.6,7.0,12.0,19.0,0.3684210526315789,108.0,101.0,209.0,0.5167464114832536,21.0,18.0,39.0,0.5384615384615384,6.0,2.0,8.0,0.75,33.0,31.0,64.0,0.515625,1.0,3.0,4.0,0.25,7.0,2.0,9.0,0.7777777777777778,29.0,18.0,47.0,0.6170212765957447,59.0,51.0,110.0,0.5363636363636364
EUW1_6128367931,2.0,1.0,3.0,0.6666666666666666,7.0,4.0,11.0,0.6363636363636364,2.0,3.0,5.0,0.4,11.0,11.0,22.0,0.5,21.0,8.0,29.0,0.7241379310344828,25.0,12.0,37.0,0.6756756756756757,7.0,6.0,13.0,0.5384615384615384,202.0,171.0,373.0,0.5415549597855228,,,,,82.0,73.0,155.0,0.5290322580645161
EUW1_6141826352,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.5,25.0,18.0,43.0,0.5813953488372093,65.0,43.0,108.0,0.6018518518518519,1.0,3.0,4.0,0.25,11.0,8.0,19.0,0.5789473684210527,164.0,140.0,304.0,0.5394736842105263,9.0,9.0,18.0,0.5,18.0,13.0,31.0,0.5806451612903226,1.0,0.0,1.0,1.0
EUW1_6046303681,51.0,22.0,73.0,0.6986301369863014,35.0,24.0,59.0,0.5932203389830508,12.0,15.0,27.0,0.4444444444444444,8.0,3.0,11.0,0.7272727272727273,103.0,69.0,172.0,0.5988372093023255,4.0,13.0,17.0,0.23529411764705882,15.0,10.0,25.0,0.6,9.0,8.0,17.0,0.5294117647058824,3.0,7.0,10.0,0.3,14.0,6.0,20.0,0.7
EUW1_6136656151,9.0,2.0,11.0,0.8181818181818182,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.0,28.0,24.0,52.0,0.5384615384615384,41.0,30.0,71.0,0.5774647887323944,24.0,11.0,35.0,0.6857142857142857,47.0,44.0,91.0,0.5164835164835165,0.0,1.0,1.0,0.0,,,,
EUW1_6138283938,313.0,295.0,608.0,0.5148026315789473,8.0,2.0,10.0,0.8,72.0,51.0,123.0,0.5853658536585366,52.0,74.0,126.0,0.4126984126984127,27.0,31.0,58.0,0.46551724137931033,5.0,2.0,7.0,0.7142857142857143,269.0,303.0,572.0,0.47027972027972026,8.0,14.0,22.0,0.36363636363636365,3.0,1.0,4.0,0.75,47.0,36.0,83.0,0.5662650602409639
EUW1_6141756802,,,,,,,,,15.0,11.0,26.0,0.5769230769230769,14.0,9.0,23.0,0.6086956521739131,11.0,6.0,17.0,0.6470588235294118,44.0,32.0,76.0,0.5789473684210527,0.0,0.0,0.0,0.5,34.0,33.0,67.0,0.5074626865671642,7.0,5.0,12.0,0.5833333333333334,0.0,0.0,0.0,0.5
EUW1_6137903659,0.0,5.0,5.0,0.0,,,,,18.0,29.0,47.0,0.3829787234042553,1.0,5.0,6.0,0.16666666666666666,56.0,35.0,91.0,0.6153846153846154,8.0,9.0,17.0,0.47058823529411764,1.0,0.0,1.0,1.0,27.0,14.0,41.0,0.6585365853658537,,,,,0.0,1.0,1.0,0.0
EUW1_6141440174,3.0,0.0,3.0,1.0,36.0,22.0,58.0,0.6206896551724138,11.0,10.0,21.0,0.5238095238095238,9.0,8.0,17.0,0.5294117647058824,7.0,6.0,13.0,0.5384615384615384,62.0,45.0,107.0,0.5794392523364486,4.0,4.0,8.0,0.5,1.0,0.0,1.0,1.0,9.0,6.0,15.0,0.6,9.0,10.0,19.0,0.47368421052631576
EUW1_6133365500,0.0,0.0,0.0,0.5,14.0,5.0,19.0,0.7368421052631579,5.0,8.0,13.0,0.38461538461538464,241.0,223.0,464.0,0.5193965517241379,10.0,3.0,13.0,0.7692307692307693,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.6666666666666666,10.0,7.0,17.0,0.5882352941176471,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.0
EUW1_6131707430,62.0,54.0,116.0,0.5344827586206896,14.0,25.0,39.0,0.358974358974359,20.0,20.0,40.0,0.5,37.0,30.0,67.0,0.5522388059701493,0.0,0.0,0.0,0.5,46.0,41.0,87.0,0.5287356321839081,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.5,11.0,8.0,19.0,0.5789473684210527,0.0,0.0,0.0,0.5
