,TOP0_WCH,TOP0_LCH,TOP0_TOTCH,TOP0_WRCH,JGL0_WCH,JGL0_LCH,JGL0_TOTCH,JGL0_WRCH,MID0_WCH,MID0_LCH,MID0_TOTCH,MID0_WRCH,ADC0_WCH,ADC0_LCH,ADC0_TOTCH,ADC0_WRCH,SUP0_WCH,SUP0_LCH,SUP0_TOTCH,SUP0_WRCH,TOP1_WCH,TOP1_LCH,TOP1_TOTCH,TOP1_WRCH,JGL1_WCH,JGL1_LCH,JGL1_TOTCH,JGL1_WRCH,MID1_WCH,MID1_LCH,MID1_TOTCH,MID1_WRCH,ADC1_WCH,ADC1_LCH,ADC1_TOTCH,ADC1_WRCH,SUP1_WCH,SUP1_LCH,SUP1_TOTCH,SUP1_WRCH
EUW1_6140228604,1.0,0.0,1.0,1.0,21.0,12.0,33.0,0.6363636363636364,3.0,1.0,4.0,0.75,39.0,43.0,82.0,0.47560975609756095,10.0,4.0,14.0,0.7142857142857143,61.0,56.0,117.0,0.5213675213675214,84.0,87.0,171.0,0.49122807017543857,70.0,46.0,116.0,0.603448275862069,2.0,5.0,7.0,0.2857142857142857,30.0,19.0,49.0,0.6122448979591837
EUW1_6141546191,49.0,41.0,90.0,0.5444444444444444,23.0,22.0,45.0,0.5111111111111111,55.0,50.0,105.0,0.5238095238095238,17.0,15.0,32.0,0.53125,20.0,16.0,36.0,0.5555555555555556,43.0,48.0,91.0,0.4725274725274725,,,,,,,,,100.0,80.0,180.0,0.5555555555555556,0.0,2.0,2.0,0.0
EUW1_6140416681,,,,,0.0,0.0,0.0,0.5,,,,,0.0,0.0,0.0,0.5,,,,,7.0,5.0,12.0,0.5833333333333334,96.0,90.0,186.0,0.5161290322580645,0.0,3.0,3.0,0.0,63.0,60.0,123.0,0.5121951219512195,0.0,1.0,1.0,0.0
EUW1_6139592219,6.0,4.0,10.0,0.6,4.0,3.0,7.0,0.5714285714285714,153.0,103.0,256.0,0.59765625,16.0,14.0,30.0,0.5333333333333333,58.0,51.0,109.0,0.5321100917431193,18.0,19.0,37.0,0.4864864864864865,13.0,7.0,20.0,0.65,206.0,203.0,409.0,0.5036674816625917,34.0,41.0,75.0,0.4533333333333333,3.0,0.0,3.0,1.0
EUW1_6045620377,0.0,0.0,0.0,0.5,308.0,250.0,558.0,0.5519713261648745,87.0,77.0,164.0,0.5304878048780488,10.0,6.0,16.0,0.625,181.0,183.0,364.0,0.49725274725274726,37.0,26.0,63.0,0.5873015873015873,4.0,4.0,8.0,0.5,2.0,5.0,7.0,0.2857142857142857,8.0,9.0,17.0,0.47058823529411764,5.0,8.0,13.0,0.38461538461538464
EUW1_6135246508,1.0,1.0,2.0,0.5,58.0,32.0,90.0,0.6444444444444445,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.3333333333333333,,,,,,,,,139.0,108.0,247.0,0.562753036437247,3.0,7.0,10.0,0.3,4.0,5.0,9.0,0.4444444444444444,11.0,1.0,12.0,0.9166666666666666
EUW1_6139522758,63.0,66.0,129.0,0.4883720930232558,444.0,371.0,815.0,0.5447852760736196,130.0,124.0,254.0,0.5118110236220472,21.0,21.0,42.0,0.5,30.0,26.0,56.0,0.5357142857142857,8.0,6.0,14.0,0.5714285714285714,4.0,5.0,9.0,0.4444444444444444,40.0,30.0,70.0,0.5714285714285714,11.0,17.0,28.0,0.39285714285714285,,,,
EUW1_6016231829,5.0,7.0,12.0,0.4166666666666667,15.0,12.0,27.0,0.5555555555555556,5.0,8.0,13.0,0.38461538461538464,70.0,70.0,140.0,0.5,8.0,7.0,15.0,0.5333333333333333,8.0,5.0,13.0,0.6153846153846154,2.0,0.0,2.0,1.0,35.0,35.0,70.0,0.5,128.0,92.0,220.0,0.5818181818181818,0.0,2.0,2.0,0.0
EUW1_6121182130,3.0,3.0,6.0,0.5,29.0,27.0,56.0,0.5178571428571429,45.0,45.0,90.0,0.5,14.0,15.0,29.0,0.4827586206896552,20.0,20.0,40.0,0.5,17.0,24.0,41.0,0.4146341463414634,0.0,0.0,0.0,0.5,50.0,48.0,98.0,0.5102040816326531,1.0,2.0,3.0,0.3333333333333333,107.0,109.0,216.0,0.49537037037037035
EUW1_6083671143,4.0,6.0,10.0,0.4,18.0,8.0,26.0,0.6923076923076923,15.0,12.0,27.0,0.5555555555555556,2.0,3.0,5.0,0.4,41.0,34.0,75.0,0.5466666666666666,13.0,16.0,29.0,0.4482758620689655,,,,,6.0,4.0,10.0,0.6,41.0,31.0,72.0,0.5694444444444444,28.0,23.0,51.0,0.5490196078431373
EUW1_6140887852,2.0,0.0,2.0,1.0,2.0,1.0,3.0,0.6666666666666666,2.0,2.0,4.0,0.5,2.0,2.0,4.0,0.5,30.0,25.0,55.0,0.5454545454545454,10.0,11.0,21.0,0.47619047619047616,0.0,0.0,0.0,0.5,11.0,14.0,25.0,0.44,31.0,25.0,56.0,0.5535714285714286,51.0,53.0,104.0,0.49038461538461536
EUW1_6094761239,3.0,2.0,5.0,0.6,109.0,91.0,200.0,0.545,88.0,65.0,153.0,0.5751633986928104,55.0,46.0,101.0,0.5445544554455446,7.0,9.0,16.0,0.4375,18.0,19.0,37.0,0.4864864864864865,100.0,57.0,157.0,0.6369426751592356,5.0,4.0,9.0,0.5555555555555556,23.0,22.0,45.0,0.5111111111111111,16.0,17.0,33.0,0.48484848484848486
EUW1_6116642885,0.0,0.0,0.0,0.5,9.0,6.0,15.0,0.6,4.0,8.0,12.0,0.3333333333333333,3.0,0.0,3.0,1.0,6.0,12.0,18.0,0.3333333333333333,135.0,129.0,264.0,0.5113636363636364,0.0,1.0,1.0,0.0,8.0,4.0,12.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
EUW1_6132729942,2.0,0.0,2.0,1.0,2.0,1.0,3.0,0.6666666666666666,2.0,5.0,7.0,0.2857142857142857,11.0,8.0,19.0,0.5789473684210527,88.0,74.0,162.0,0.5432098765432098,233.0,199.0,432.0,0.5393518518518519,21.0,15.0,36.0,0.5833333333333334,8.0,8.0,16.0,0.5,6.0,8.0,14.0,0.42857142857142855,11.0,6.0,17.0,0.6470588235294118
EUW1_6140619989,,,,,6.0,1.0,7.0,0.8571428571428571,,,,,0.0,0.0,0.0,0.5,,,,,4.0,5.0,9.0,0.4444444444444444,16.0,10.0,26.0,0.6153846153846154,8.0,7.0,15.0,0.5333333333333333,1.0,0.0,1.0,1.0,,,,
EUW1_6106581474,10.0,5.0,15.0,0.6666666666666666,36.0,25.0,61.0,0.5901639344262295,237.0,192.0,429.0,0.5524475524475524,2.0,4.0,6.0,0.3333333333333333,,,,,112.0,106.0,218.0,0.5137614678899083,17.0,10.0,27.0,0.6296296296296297,0.0,0.0,0.0,0.5,50.0,57.0,107.0,0.4672897196261682,0.0,0.0,0.0,0.5
EUW1_6049848053,71.0,60.0,131.0,0.5419847328244275,183.0,157.0,340.0,0.538235294117647,18.0,14.0,32.0,0.5625,2.0,0.0,2.0,1.0,13.0,24.0,37.0,0.35135135135135137,47.0,46.0,93.0,0.5053763440860215,11.0,17.0,28.0,0.39285714285714285,,,,,35.0,39.0,74.0,0.47297297297297297,1.0,2.0,3.0,0.3333333333333333
EUW1_6140496225,,,,,12.0,7.0,19.0,0.631578947368421,1.0,4.0,5.0,0.2,36.0,31.0,67.0,0.5373134328358209,2.0,0.0,2.0,1.0,33.0,30.0,63.0,0.5238095238095238,0.0,3.0,3.0,0.0,90.0,78.0,168.0,0.5357142857142857,9.0,3.0,12.0,0.75,77.0,97.0,174.0,0.4425287356321839
EUW1_6121630161,,,,,,,,,6.0,4.0,10.0,0.6,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,2.0,2.0,4.0,0.5,1.0,1.0,2.0,0.5,5.0,3.0,8.0,0.625
EUW1_6134862983,256.0,245.0,501.0,0.5109780439121756,15.0,15.0,30.0,0.5,8.0,7.0,15.0,0.5333333333333333,1.0,3.0,4.0,0.25,1.0,0.0,1.0,1.0,20.0,23.0,43.0,0.46511627906976744,109.0,57.0,166.0,0.6566265060240963,35.0,26.0,61.0,0.5737704918032787,54.0,34.0,88.0,0.6136363636363636,1.0,0.0,1.0,1.0
EUW1_6141723952,12.0,8.0,20.0,0.6,664.0,619.0,1283.0,0.5175370226032736,9.0,5.0,14.0,0.6428571428571429,4.0,11.0,15.0,0.26666666666666666,410.0,337.0,747.0,0.5488621151271754,53.0,41.0,94.0,0.5638297872340425,34.0,25.0,59.0,0.576271186440678,1.0,6.0,7.0,0.14285714285714285,4.0,4.0,8.0,0.5,14.0,11.0,25.0,0.56
EUW1_6141112154,6.0,4.0,10.0,0.6,82.0,67.0,149.0,0.5503355704697986,77.0,69.0,146.0,0.5273972602739726,3.0,7.0,10.0,0.3,4.0,4.0,8.0,0.5,1.0,0.0,1.0,1.0,14.0,15.0,29.0,0.4827586206896552,57.0,44.0,101.0,0.5643564356435643,154.0,115.0,269.0,0.5724907063197026,1.0,1.0,2.0,0.5
EUW1_6140457389,1.0,2.0,3.0,0.3333333333333333,4.0,4.0,8.0,0.5,6.0,10.0,16.0,0.375,4.0,5.0,9.0,0.4444444444444444,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,6.0,7.0,13.0,0.46153846153846156,0.0,2.0,2.0,0.0
EUW1_6085080410,1.0,2.0,3.0,0.3333333333333333,,,,,130.0,114.0,244.0,0.5327868852459017,9.0,9.0,18.0,0.5,35.0,38.0,73.0,0.4794520547945205,2.0,3.0,5.0,0.4,,,,,0.0,1.0,1.0,0.0,94.0,75.0,169.0,0.5562130177514792,,,,
EUW1_6139153885,84.0,50.0,134.0,0.6268656716417911,3.0,4.0,7.0,0.42857142857142855,116.0,106.0,222.0,0.5225225225225225,55.0,35.0,90.0,0.6111111111111112,186.0,170.0,356.0,0.5224719101123596,0.0,0.0,0.0,0.5,,,,,44.0,34.0,78.0,0.5641025641025641,,,,,156.0,130.0,286.0,0.5454545454545454
EUW1_6140109696,,,,,43.0,29.0,72.0,0.5972222222222222,,,,,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.3333333333333333,28.0,27.0,55.0,0.509090909090909,0.0,0.0,0.0,0.5,,,,,,,,,16.0,10.0,26.0,0.6153846153846154
EUW1_6046932031,20.0,21.0,41.0,0.4878048780487805,11.0,7.0,18.0,0.6111111111111112,9.0,10.0,19.0,0.47368421052631576,3.0,5.0,8.0,0.375,1.0,1.0,2.0,0.5,2.0,0.0,2.0,1.0,,,,,1.0,0.0,1.0,1.0,5.0,6.0,11.0,0.45454545454545453,4.0,2.0,6.0,0.6666666666666666
EUW1_6139900925,17.0,15.0,32.0,0.53125,1043.0,1018.0,2061.0,0.5060650169820475,96.0,69.0,165.0,0.5818181818181818,118.0,110.0,228.0,0.5175438596491229,77.0,60.0,137.0,0.5620437956204379,0.0,0.0,0.0,0.5,2.0,1.0,3.0,0.6666666666666666,,,,,83.0,51.0,134.0,0.6194029850746269,80.0,85.0,165.0,0.48484848484848486
EUW1_6137406961,2.0,3.0,5.0,0.4,0.0,1.0,1.0,0.0,,,,,50.0,50.0,100.0,0.5,195.0,173.0,368.0,0.529891304347826,4.0,1.0,5.0,0.8,11.0,12.0,23.0,0.4782608695652174,11.0,11.0,22.0,0.5,21.0,15.0,36.0,0.5833333333333334,0.0,0.0,0.0,0.5
EUW1_6140554064,,,,,,,,,,,,,,,,,4.0,6.0,10.0,0.4,4.0,1.0,5.0,0.8,,,,,2.0,2.0,4.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5
EUW1_6057586356,112.0,98.0,210.0,0.5333333333333333,3.0,5.0,8.0,0.375,10.0,9.0,19.0,0.5263157894736842,,,,,5.0,4.0,9.0,0.5555555555555556,318.0,272.0,590.0,0.5389830508474577,13.0,13.0,26.0,0.5,3.0,0.0,3.0,1.0,4.0,1.0,5.0,0.8,29.0,31.0,60.0,0.48333333333333334
EUW1_6139386088,38.0,41.0,79.0,0.4810126582278481,,,,,,,,,12.0,7.0,19.0,0.631578947368421,3.0,2.0,5.0,0.6,,,,,,,,,,,,,2.0,4.0,6.0,0.3333333333333333,2.0,2.0,4.0,0.5
EUW1_6115924629,160.0,138.0,298.0,0.5369127516778524,4.0,5.0,9.0,0.4444444444444444,5.0,6.0,11.0,0.45454545454545453,8.0,5.0,13.0,0.6153846153846154,20.0,11.0,31.0,0.6451612903225806,,,,,56.0,50.0,106.0,0.5283018867924528,2.0,0.0,2.0,1.0,5.0,10.0,15.0,0.3333333333333333,10.0,11.0,21.0,0.47619047619047616
EUW1_6139993727,4.0,5.0,9.0,0.4444444444444444,105.0,79.0,184.0,0.5706521739130435,1.0,0.0,1.0,1.0,21.0,18.0,39.0,0.5384615384615384,7.0,8.0,15.0,0.4666666666666667,15.0,17.0,32.0,0.46875,84.0,60.0,144.0,0.5833333333333334,,,,,22.0,12.0,34.0,0.6470588235294118,22.0,22.0,44.0,0.5
EUW1_6132246146,0.0,1.0,1.0,0.0,15.0,11.0,26.0,0.5769230769230769,15.0,6.0,21.0,0.7142857142857143,71.0,53.0,124.0,0.5725806451612904,,,,,0.0,1.0,1.0,0.0,13.0,7.0,20.0,0.65,12.0,11.0,23.0,0.5217391304347826,35.0,18.0,53.0,0.660377358490566,5.0,14.0,19.0,0.2631578947368421
EUW1_6138439128,223.0,215.0,438.0,0.5091324200913242,93.0,60.0,153.0,0.6078431372549019,39.0,31.0,70.0,0.5571428571428572,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5,7.0,9.0,16.0,0.4375,13.0,15.0,28.0,0.4642857142857143,31.0,23.0,54.0,0.5740740740740741,8.0,6.0,14.0,0.5714285714285714,0.0,0.0,0.0,0.5
EUW1_6136667574,,,,,,,,,20.0,9.0,29.0,0.6896551724137931,72.0,69.0,141.0,0.5106382978723404,,,,,0.0,1.0,1.0,0.0,,,,,,,,,19.0,20.0,39.0,0.48717948717948717,,,,
EUW1_6094538897,32.0,27.0,59.0,0.5423728813559322,5.0,2.0,7.0,0.7142857142857143,71.0,52.0,123.0,0.5772357723577236,29.0,21.0,50.0,0.58,94.0,69.0,163.0,0.5766871165644172,60.0,34.0,94.0,0.6382978723404256,2.0,2.0,4.0,0.5,10.0,5.0,15.0,0.6666666666666666,6.0,3.0,9.0,0.6666666666666666,0.0,2.0,2.0,0.0
EUW1_6139359979,67.0,35.0,102.0,0.6568627450980392,59.0,44.0,103.0,0.5728155339805825,148.0,108.0,256.0,0.578125,2.0,0.0,2.0,1.0,,,,,14.0,9.0,23.0,0.6086956521739131,12.0,4.0,16.0,0.75,15.0,4.0,19.0,0.7894736842105263,24.0,17.0,41.0,0.5853658536585366,5.0,7.0,12.0,0.4166666666666667
EUW1_6141408255,224.0,183.0,407.0,0.5503685503685504,,,,,36.0,25.0,61.0,0.5901639344262295,1.0,3.0,4.0,0.25,52.0,35.0,87.0,0.5977011494252874,9.0,3.0,12.0,0.75,,,,,2.0,1.0,3.0,0.6666666666666666,1.0,2.0,3.0,0.3333333333333333,35.0,27.0,62.0,0.5645161290322581
EUW1_6130031401,57.0,31.0,88.0,0.6477272727272727,16.0,9.0,25.0,0.64,15.0,10.0,25.0,0.6,26.0,21.0,47.0,0.5531914893617021,64.0,44.0,108.0,0.5925925925925926,36.0,33.0,69.0,0.5217391304347826,0.0,0.0,0.0,0.5,93.0,89.0,182.0,0.510989010989011,,,,,10.0,19.0,29.0,0.3448275862068966
EUW1_6110125911,2.0,5.0,7.0,0.2857142857142857,14.0,12.0,26.0,0.5384615384615384,19.0,12.0,31.0,0.6129032258064516,15.0,16.0,31.0,0.4838709677419355,33.0,19.0,52.0,0.6346153846153846,0.0,0.0,0.0,0.5,,,,,10.0,10.0,20.0,0.5,23.0,29.0,52.0,0.4423076923076923,1.0,2.0,3.0,0.3333333333333333
EUW1_6140693936,22.0,25.0,47.0,0.46808510638297873,53.0,48.0,101.0,0.5247524752475248,8.0,9.0,17.0,0.47058823529411764,,,,,83.0,67.0,150.0,0.5533333333333333,192.0,155.0,347.0,0.553314121037464,5.0,3.0,8.0,0.625,550.0,501.0,1051.0,0.5233111322549953,6.0,6.0,12.0,0.5,95.0,91.0,186.0,0.510752688172043
EUW1_6131880154,1.0,0.0,1.0,1.0,,,,,82.0,57.0,139.0,0.5899280575539568,1.0,0.0,1.0,1.0,,,,,,,,,2.0,6.0,8.0,0.25,0.0,2.0,2.0,0.0,4.0,4.0,8.0,0.5,0.0,4.0,4.0,0.0
EUW1_6139350908,0.0,0.0,0.0,0.5,102.0,79.0,181.0,0.56353591160221,6.0,7.0,13.0,0.46153846153846156,123.0,82.0,205.0,0.6,54.0,70.0,124.0,0.43548387096774194,5.0,2.0,7.0,0.7142857142857143,60.0,54.0,114.0,0.5263157894736842,7.0,1.0,8.0,0.875,69.0,62.0,131.0,0.5267175572519084,706.0,608.0,1314.0,0.5372907153729072
EUW1_6123696460,1.0,1.0,2.0,0.5,20.0,18.0,38.0,0.5263157894736842,173.0,152.0,325.0,0.5323076923076923,29.0,11.0,40.0,0.725,139.0,118.0,257.0,0.5408560311284046,,,,,,,,,5.0,4.0,9.0,0.5555555555555556,8.0,7.0,15.0,0.5333333333333333,104.0,118.0,222.0,0.46846846846846846
EUW1_6140591597,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,,,,,6.0,5.0,11.0,0.5454545454545454,24.0,13.0,37.0,0.6486486486486487,,,,,,,,,,,,,,,,,,,,
EUW1_6139517339,1.0,0.0,1.0,1.0,13.0,6.0,19.0,0.6842105263157895,14.0,13.0,27.0,0.5185185185185185,15.0,13.0,28.0,0.5357142857142857,6.0,12.0,18.0,0.3333333333333333,7.0,14.0,21.0,0.3333333333333333,0.0,4.0,4.0,0.0,14.0,16.0,30.0,0.4666666666666667,19.0,24.0,43.0,0.4418604651162791,50.0,42.0,92.0,0.5434782608695652
EUW1_6124243386,74.0,53.0,127.0,0.5826771653543307,88.0,82.0,170.0,0.5176470588235295,247.0,244.0,491.0,0.5030549898167006,27.0,24.0,51.0,0.5294117647058824,15.0,8.0,23.0,0.6521739130434783,11.0,8.0,19.0,0.5789473684210527,3.0,6.0,9.0,0.3333333333333333,14.0,11.0,25.0,0.56,300.0,250.0,550.0,0.5454545454545454,93.0,85.0,178.0,0.5224719101123596
EUW1_6117497140,2.0,0.0,2.0,1.0,4.0,6.0,10.0,0.4,8.0,7.0,15.0,0.5333333333333333,2.0,5.0,7.0,0.2857142857142857,2.0,1.0,3.0,0.6666666666666666,39.0,27.0,66.0,0.5909090909090909,115.0,101.0,216.0,0.5324074074074074,23.0,17.0,40.0,0.575,406.0,345.0,751.0,0.5406125166444741,5.0,1.0,6.0,0.8333333333333334
EUW1_6140068982,1.0,0.0,1.0,1.0,22.0,21.0,43.0,0.5116279069767442,33.0,38.0,71.0,0.4647887323943662,,,,,12.0,5.0,17.0,0.7058823529411765,29.0,22.0,51.0,0.5686274509803921,16.0,10.0,26.0,0.6153846153846154,38.0,46.0,84.0,0.4523809523809524,59.0,48.0,107.0,0.5514018691588785,158.0,133.0,291.0,0.5429553264604811
EUW1_6111233047,56.0,39.0,95.0,0.5894736842105263,251.0,193.0,444.0,0.5653153153153153,38.0,35.0,73.0,0.5205479452054794,1.0,6.0,7.0,0.14285714285714285,,,,,9.0,3.0,12.0,0.75,576.0,525.0,1101.0,0.5231607629427792,714.0,575.0,1289.0,0.5539177657098526,63.0,56.0,119.0,0.5294117647058824,162.0,107.0,269.0,0.6022304832713755
EUW1_6094862439,0.0,0.0,0.0,0.5,69.0,71.0,140.0,0.4928571428571429,5.0,3.0,8.0,0.625,3.0,3.0,6.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,2.0,0.5,211.0,165.0,376.0,0.5611702127659575,0.0,2.0,2.0,0.0,18.0,17.0,35.0,0.5142857142857142,87.0,65.0,152.0,0.5723684210526315
EUW1_6109804986,1.0,1.0,2.0,0.5,204.0,189.0,393.0,0.5190839694656488,10.0,11.0,21.0,0.47619047619047616,28.0,23.0,51.0,0.5490196078431373,32.0,29.0,61.0,0.5245901639344263,210.0,186.0,396.0,0.5303030303030303,4.0,5.0,9.0,0.4444444444444444,0.0,1.0,1.0,0.0,7.0,4.0,11.0,0.6363636363636364,117.0,109.0,226.0,0.5176991150442478
EUW1_6139000216,69.0,50.0,119.0,0.5798319327731093,6.0,1.0,7.0,0.8571428571428571,30.0,28.0,58.0,0.5172413793103449,23.0,16.0,39.0,0.5897435897435898,133.0,121.0,254.0,0.5236220472440944,39.0,37.0,76.0,0.5131578947368421,5.0,2.0,7.0,0.7142857142857143,4.0,7.0,11.0,0.36363636363636365,36.0,28.0,64.0,0.5625,4.0,9.0,13.0,0.3076923076923077
EUW1_6141589320,5.0,8.0,13.0,0.38461538461538464,4.0,6.0,10.0,0.4,24.0,10.0,34.0,0.7058823529411765,36.0,35.0,71.0,0.5070422535211268,4.0,8.0,12.0,0.3333333333333333,414.0,396.0,810.0,0.5111111111111111,91.0,94.0,185.0,0.4918918918918919,1.0,4.0,5.0,0.2,18.0,21.0,39.0,0.46153846153846156,0.0,1.0,1.0,0.0
EUW1_6140818144,3.0,3.0,6.0,0.5,5.0,2.0,7.0,0.7142857142857143,0.0,1.0,1.0,0.0,8.0,8.0,16.0,0.5,36.0,35.0,71.0,0.5070422535211268,10.0,8.0,18.0,0.5555555555555556,34.0,24.0,58.0,0.5862068965517241,157.0,171.0,328.0,0.47865853658536583,35.0,51.0,86.0,0.4069767441860465,,,,
EUW1_6135041423,4.0,1.0,5.0,0.8,136.0,107.0,243.0,0.5596707818930041,58.0,43.0,101.0,0.5742574257425742,5.0,6.0,11.0,0.45454545454545453,7.0,2.0,9.0,0.7777777777777778,,,,,1.0,1.0,2.0,0.5,2.0,4.0,6.0,0.3333333333333333,38.0,37.0,75.0,0.5066666666666667,,,,
EUW1_6099132111,232.0,188.0,420.0,0.5523809523809524,12.0,12.0,24.0,0.5,2.0,4.0,6.0,0.3333333333333333,3.0,8.0,11.0,0.2727272727272727,117.0,87.0,204.0,0.5735294117647058,29.0,24.0,53.0,0.5471698113207547,59.0,43.0,102.0,0.5784313725490197,210.0,152.0,362.0,0.580110497237569,10.0,8.0,18.0,0.5555555555555556,244.0,213.0,457.0,0.5339168490153173
EUW1_6128330072,15.0,15.0,30.0,0.5,2.0,5.0,7.0,0.2857142857142857,0.0,3.0,3.0,0.0,26.0,16.0,42.0,0.6190476190476191,32.0,24.0,56.0,0.5714285714285714,0.0,2.0,2.0,0.0,10.0,9.0,19.0,0.5263157894736842,1.0,0.0,1.0,1.0,11.0,14.0,25.0,0.44,2.0,4.0,6.0,0.3333333333333333
EUW1_6125533449,38.0,34.0,72.0,0.5277777777777778,52.0,43.0,95.0,0.5473684210526316,3.0,5.0,8.0,0.375,70.0,49.0,119.0,0.5882352941176471,367.0,364.0,731.0,0.5020519835841313,7.0,8.0,15.0,0.4666666666666667,12.0,9.0,21.0,0.5714285714285714,93.0,80.0,173.0,0.5375722543352601,19.0,10.0,29.0,0.6551724137931034,0.0,0.0,0.0,0.5
EUW1_6140775204,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,8.0,4.0,12.0,0.6666666666666666,9.0,5.0,14.0,0.6428571428571429,,,,
EUW1_6140630153,12.0,11.0,23.0,0.5217391304347826,13.0,11.0,24.0,0.5416666666666666,10.0,16.0,26.0,0.38461538461538464,54.0,58.0,112.0,0.48214285714285715,2.0,2.0,4.0,0.5,1.0,2.0,3.0,0.3333333333333333,50.0,40.0,90.0,0.5555555555555556,1.0,3.0,4.0,0.25,,,,,2.0,6.0,8.0,0.25
EUW1_6141801588,8.0,13.0,21.0,0.38095238095238093,,,,,0.0,1.0,1.0,0.0,,,,,43.0,47.0,90.0,0.4777777777777778,2.0,0.0,2.0,1.0,10.0,8.0,18.0,0.5555555555555556,,,,,15.0,5.0,20.0,0.75,65.0,57.0,122.0,0.5327868852459017
EUW1_6139442047,12.0,19.0,31.0,0.3870967741935484,5.0,2.0,7.0,0.7142857142857143,13.0,16.0,29.0,0.4482758620689655,28.0,35.0,63.0,0.4444444444444444,66.0,31.0,97.0,0.6804123711340206,18.0,12.0,30.0,0.6,9.0,6.0,15.0,0.6,36.0,29.0,65.0,0.5538461538461539,1.0,1.0,2.0,0.5,5.0,8.0,13.0,0.38461538461538464
EUW1_6135180592,,,,,0.0,0.0,0.0,0.5,,,,,,,,,3.0,2.0,5.0,0.6,,,,,,,,,19.0,32.0,51.0,0.37254901960784315,224.0,220.0,444.0,0.5045045045045045,0.0,0.0,0.0,0.5
EUW1_6140158332,58.0,35.0,93.0,0.6236559139784946,7.0,7.0,14.0,0.5,1.0,1.0,2.0,0.5,63.0,84.0,147.0,0.42857142857142855,76.0,78.0,154.0,0.4935064935064935,30.0,14.0,44.0,0.6818181818181818,12.0,17.0,29.0,0.41379310344827586,16.0,13.0,29.0,0.5517241379310345,4.0,9.0,13.0,0.3076923076923077,,,,
EUW1_6088124229,14.0,12.0,26.0,0.5384615384615384,48.0,42.0,90.0,0.5333333333333333,1.0,2.0,3.0,0.3333333333333333,0.0,1.0,1.0,0.0,5.0,5.0,10.0,0.5,74.0,64.0,138.0,0.5362318840579711,806.0,745.0,1551.0,0.5196647324306899,81.0,83.0,164.0,0.49390243902439024,48.0,64.0,112.0,0.42857142857142855,63.0,37.0,100.0,0.63
EUW1_6133170309,1.0,2.0,3.0,0.3333333333333333,3.0,6.0,9.0,0.3333333333333333,180.0,153.0,333.0,0.5405405405405406,107.0,91.0,198.0,0.5404040404040404,119.0,85.0,204.0,0.5833333333333334,38.0,24.0,62.0,0.6129032258064516,26.0,16.0,42.0,0.6190476190476191,86.0,66.0,152.0,0.5657894736842105,11.0,3.0,14.0,0.7857142857142857,14.0,9.0,23.0,0.6086956521739131
EUW1_6110932168,3.0,2.0,5.0,0.6,46.0,44.0,90.0,0.5111111111111111,1.0,1.0,2.0,0.5,,,,,,,,,12.0,10.0,22.0,0.5454545454545454,13.0,8.0,21.0,0.6190476190476191,4.0,5.0,9.0,0.4444444444444444,0.0,2.0,2.0,0.0,22.0,17.0,39.0,0.5641025641025641
EUW1_6136561939,7.0,13.0,20.0,0.35,7.0,5.0,12.0,0.5833333333333334,11.0,11.0,22.0,0.5,20.0,22.0,42.0,0.47619047619047616,115.0,130.0,245.0,0.46938775510204084,1.0,0.0,1.0,1.0,33.0,16.0,49.0,0.673469387755102,5.0,9.0,14.0,0.35714285714285715,48.0,37.0,85.0,0.5647058823529412,5.0,6.0,11.0,0.45454545454545453
EUW1_5998438125,1.0,3.0,4.0,0.25,5.0,1.0,6.0,0.8333333333333334,9.0,10.0,19.0,0.47368421052631576,205.0,133.0,338.0,0.606508875739645,0.0,1.0,1.0,0.0,187.0,153.0,340.0,0.55,2.0,1.0,3.0,0.6666666666666666,2.0,2.0,4.0,0.5,58.0,67.0,125.0,0.464,7.0,8.0,15.0,0.4666666666666667
EUW1_6141537337,8.0,7.0,15.0,0.5333333333333333,31.0,22.0,53.0,0.5849056603773585,3.0,1.0,4.0,0.75,6.0,7.0,13.0,0.46153846153846156,23.0,17.0,40.0,0.575,414.0,396.0,810.0,0.5111111111111111,1.0,2.0,3.0,0.3333333333333333,2.0,2.0,4.0,0.5,7.0,6.0,13.0,0.5384615384615384,,,,
EUW1_6141332262,0.0,0.0,0.0,0.5,309.0,254.0,563.0,0.5488454706927176,54.0,44.0,98.0,0.5510204081632653,9.0,8.0,17.0,0.5294117647058824,13.0,19.0,32.0,0.40625,195.0,137.0,332.0,0.5873493975903614,93.0,82.0,175.0,0.5314285714285715,115.0,87.0,202.0,0.5693069306930693,211.0,160.0,371.0,0.568733153638814,97.0,92.0,189.0,0.5132275132275133
