,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,Λinutari,SUP,Nami,24.95577919424473,VIICTORNAVAS,JGL,Belveth,45.23327194815083
1,ørnnhuß,JGL,Shaco,21.348799377912144,fortnite glider,ADC,Twitch,29.67277634450327
2,FNC POPCORN,ADC,Jinx,7.289542181637554,Spyrel,MID,Corki,44.65185200819811
3,Anikolbaryak,TOP,Nasus,22.698581025046284,jaegare666,SUP,Senna,20.608176855371486
4,crazybonez,MID,Yasuo,27.232418884999245,s7s,TOP,Rumble,24.29170308924248
