,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,Byahasabdu,JGL,Rengar,66.0984528631881,vAvAntEr,JGL,Shyvana,23.6851003179974
1,Mr Ego,MID,Akali,47.04852381419523,SniffIineand1v9,MID,Fizz,54.70816007875114
2,ShrugSan,ADC,Jinx,63.350332918329435,MalphiteMeBro,TOP,Mordekaiser,18.57734021623749
3,     xın,SUP,Yuumi,39.56066375285804,Setting ƒires,ADC,Kalista,85.27091785075017
4,OlympicZeus,TOP,Kayle,25.728852506264943,BardmainTheReal,SUP,Pyke,16.75141925739999
