,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,LouisLaTarlouze,TOP,Gnar,39.22910494502017,LGBTQ Ruby,ADC,Caitlyn,26.18411826854311
1,Louis1430,ADC,Kaisa,11.722210071213501,lWolfl,MID,Malzahar,37.75783259003494
2,LouisLaPucelle,MID,Ahri,17.666206105604136,22341123,TOP,Malphite,6.949177620333247
3,Kiritoqun,JGL,Kindred,25.629456564330376,HaganDaniels,JGL,LeeSin,10.265189884451209
4,00michele00,SUP,Heimerdinger,47.53272082157375,KiaraDeletrius,SUP,Soraka,24.226405529398743
