,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,Alakasız Sona,SUP,Sona,23.08171833073394,GEEKAGRINDSET,JGL,Hecarim,43.53227464324754
1,Vital Strike,TOP,Aatrox,-1.0,Sväns sés,SUP,Senna,11.322519113003827
2,C O C A T T,JGL,LeeSin,33.2860849043647,Desperaid,MID,Sylas,65.90214556586443
3,Shinwa1,MID,Aatrox,-1.0,Cykojaeta,ADC,Aphelios,61.21962077787846
4,JxRobiin,ADC,Twitch,22.01583535455732,failboy nikolaj,TOP,TahmKench,66.90539996651242
