,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,Deimoz,JGL,Belveth,53.52265495206655,henkkaq,MID,Ahri,73.63615491459902
1,skovlov,TOP,Fiora,0.0,Report NoExiit,TOP,Darius,47.2157731577114
2,Qiyananas,MID,Akshan,30.31036565032744,xBonyy,JGL,Hecarim,84.80211314804627
3,Petit sùshi,SUP,Yuumi,37.73949305367598,Spixcell,SUP,Zyra,13.66382575721351
4,lol gog,ADC,Xayah,68.25124387952263,maximal traurig,ADC,Ezreal,55.161093495180445
