,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,1v9 egirl sup,SUP,Pyke,48.28358452165534,AntonPrince,SUP,Nautilus,27.296432012640715
1,xzspfgfm,TOP,Teemo,19.57851505839896,MystikFist,MID,Annie,0.0
2,KuLemon,MID,Cassiopeia,36.937068551688434,ByRoccet,ADC,Nilah,37.15939740495965
3,axeltjuuh,JGL,Trundle,20.196571738046963,LSRatchet97,JGL,Belveth,73.62983610538575
4,SasterLoL,ADC,Lucian,1.2591028996137363,Qaeqytaqy,TOP,Yorick,28.75039515882235
