,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,ZodiaC5,SUP,Nami,41.47751876370398,HiKaRuuuuu,JGL,Nocturne,42.519280573372555
1,Nephs,MID,Galio,37.072278749634876,XiaoEbisu,SUP,Nautilus,0.0
2,Les longs canons,TOP,Gragas,27.293957139714582,Pingouin911,ADC,Jhin,35.92229358405452
3,GAM Bill,ADC,Varus,45.25719338399989,PG5 Michael Lo,MID,Sylas,14.485610389245906
4,Dans les bwisson,JGL,Belveth,12.43025364523771,LuTaSReX,TOP,Gwen,76.9142081998623
