,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,TikkiShuffleGamb,JGL,MasterYi,47.96316526431986,Magnıfıcant,TOP,Aatrox,37.54650325012203
1,Storm34r,TOP,Warwick,5.203330898489013,Shadowhuntrr,SUP,Pyke,28.231966214581227
2,EuF Mossi,ADC,Ezreal,42.344629848535476,Mrassozial,ADC,Kaisa,61.557990918785336
3,AxoNueve,MID,Akali,85.6353031960772,qfhgfqp,JGL,Udyr,0.0
4,1Yusalien,SUP,Nami,31.11316967495244,Flow HDD,MID,Ziggs,28.227774698415143
