,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,FK TAYLER,JGL,MasterYi,39.19640846551903,vGameDoctor,ADC,Caitlyn,20.805137682380227
1,Flooreks,MID,Xerath,2.225197480376557,Krys la Crasse,MID,Cassiopeia,61.492437572989125
2,E365,ADC,Ezreal,7.811135447147521,Shasekishu,JGL,FiddleSticks,59.125347713673904
3,Hi im Kedde,TOP,Urgot,16.199318129235436,DimitriRTX,TOP,Nasus,40.98211655769675
4,Senpapi112,SUP,Brand,24.604622081865497,RonjaAyo,SUP,Yuumi,28.77796149282442
