,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,Palianuellak,TOP,Garen,72.71010547561164,lukyzz369,TOP,Darius,13.461186395084212
1,NoT ENaD,JGL,Rammus,34.235361832562425,Magomedov Aslan,JGL,Belveth,60.59305817869907
2,flame2death,SUP,Ashe,24.73272881826017,0zem,SUP,Pantheon,57.560166074303865
3,Care Bronze trap,ADC,Jhin,46.66806953197663,Uncrownedkings,MID,Azir,35.38699714749771
4,maciopump,MID,Sylas,5.043890650447056,DT borrainit4lia,ADC,Caitlyn,55.44023472988398
