,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,martindasölauge,JGL,Khazix,40.814210321525266,Flacö,MID,Katarina,0.0
1,TouchMe2467,TOP,Nasus,10.416758300463796,Is that a bird ,TOP,Quinn,59.11157792993382
2,Hardious,ADC,Samira,29.0886529579508,KaothiKartoffel,ADC,Caitlyn,58.681880132467434
3,bloodsuckerrrr,MID,AurelionSol,0.0,Niño Indú,JGL,MonkeyKing,0.0
4,XpyroX91,SUP,Lux,26.66404402295706,Le PatopurifiK,SUP,Alistar,90.76911986863038
