,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,D3ads4ck,SUP,Janna,28.092608646328877,Kim Shine,ADC,Caitlyn,52.77561783161994
1,CouCouss2002,MID,Akali,4.891212063492864,Gerard030503,MID,Malzahar,7.7707226357697
2,Kupanski44,TOP,Darius,4.370894779537949,Samoussa 1st,JGL,FiddleSticks,0.0
3,Nokray,ADC,Tristana,57.94228616608768,Xerath Uchiwa,SUP,Blitzcrank,19.457407367031475
4,bifor123,JGL,Shaco,15.040326787239309,JuiceWRLDThree9,TOP,Fiora,16.001367290688705
