,Player blue,Role blue,Champions blue,Score blue,Player red,Role red,Champions red,Score red
0,Le PIN8,TOP,Kennen,30.80898641154624,DVM DelFauu,TOP,Darius,17.45397749722781
1,Mıkasa Ackérman,ADC,Jhin,32.190600563836476,Piscas17,MID,Fizz,42.99770981624299
2,JNavasa,JGL,Viego,42.16462505450896,Sirbyyy,JGL,Diana,71.17219819899911
3,judoandi1,SUP,Lux,12.06248253994587,Yyassuoisyourdad,SUP,Velkoz,36.33805609399444
4,xAlix15,MID,Kassadin,19.77594300509672,yubray,ADC,Twitch,0.0
